Broker      Stock       Value       Changes     
Banking     102         6           90          
Broker 3    Banking     102         6           
Broker 4    Banking     102         6           
Broker 1    Technology  176         6           
Broker 2    Technology  176         6           
Broker 3    Technology  176         6           
Broker 4    Technology  176         6           
Broker 1    Retail      37          7           
Broker 4    Retail      37          7           
Broker 2    Commodity   562         7           
Broker 4    Commodity   562         7           
Broker 2    Banking     104         7           
Broker 3    Banking     104         7           
Broker 4    Banking     104         7           
Broker 1    Technology  177         7           
Broker 2    Technology  177         7           
Broker 3    Technology  177         7           
Broker 4    Technology  177         7           
Broker 1    Retail      38          8           
Broker 4    Retail      38          8           
Broker 2    Commodity   566         8           
Broker 4    Commodity   566         8           
Broker 2    Banking     105         8           
Broker 3    Banking     105         8           
Broker 4    Banking     105         8           
Broker 1    Technology  178         8           
Broker 2    Technology  178         8           
Broker 3    Technology  178         8           
Broker 4    Technology  178         8           
Broker 2    Commodity   582         9           
Broker 4    Commodity   582         9           
Broker 1    Retail      39          9           
Broker 4    Retail      39          9           
Broker 2    Banking     108         9           
Broker 3    Banking     108         9           
Broker 4    Banking     108         9           
Broker 1    Technology  181         9           
Broker 2    Technology  181         9           
Broker 3    Technology  181         9           
Broker 4    Technology  181         9           
Broker 2    Commodity   594         10          
Broker 4    Commodity   594         10          
Broker 1    Retail      40          10          
Broker 4    Retail      40          10          
Broker 2    Banking     111         10          
Broker 3    Banking     111         10          
Broker 4    Banking     111         10          
Broker 1    Technology  185         10          
Broker 2    Technology  185         10          
Broker 3    Technology  185         10          
Broker 4    Technology  185         10          
Broker 2    Commodity   595         11          
Broker 4    Commodity   595         11          
Broker 1    Retail      41          11          
Broker 4    Retail      41          11          
Broker 2    Banking     113         11          
Broker 3    Banking     113         11          
Broker 4    Banking     113         11          
Broker 1    Technology  189         11          
Broker 2    Technology  189         11          
Broker 3    Technology  189         11          
Broker 4    Technology  189         11          
Broker 2    Commodity   598         12          
Broker 4    Commodity   598         12          
Broker 1    Retail      42          12          
Broker 4    Retail      42          12          
Broker 2    Banking     116         12          
Broker 3    Banking     116         12          
Broker 4    Banking     116         12          
Broker 1    Technology  192         12          
Broker 2    Technology  192         12          
Broker 3    Technology  192         12          
Broker 4    Technology  192         12          
Broker 1    Retail      43          13          
Broker 4    Retail      43          13          
Broker 2    Commodity   599         13          
Broker 4    Commodity   599         13          
Broker 2    Banking     119         13          
Broker 3    Banking     119         13          
Broker 4    Banking     119         13          
Broker 1    Technology  193         13          
Broker 2    Technology  193         13          
Broker 3    Technology  193         13          
Broker 4    Technology  193         13          
Broker 1    Retail      44          14          
Broker 4    Retail      44          14          
Broker 2    Commodity   613         14          
Broker 4    Commodity   613         14          
Broker 2    Banking     120         14          
Broker 3    Banking     120         14          
Broker 4    Banking     120         14          
Broker 1    Technology  195         14          
Broker 2    Technology  195         14          
Broker 3    Technology  195         14          
Broker 4    Technology  195         14          
Broker 1    Retail      45          15          
Broker 4    Retail      45          15          
Broker 2    Commodity   617         15          
Broker 4    Commodity   617         15          
Broker 2    Banking     123         15          
Broker 3    Banking     123         15          
Broker 4    Banking     123         15          
Broker 1    Technology  196         15          
Broker 2    Technology  196         15          
Broker 3    Technology  196         15          
Broker 4    Technology  196         15          
Broker 1    Retail      46          16          
Broker 4    Retail      46          16          
Broker 2    Commodity   622         16          
Broker 4    Commodity   622         16          
Broker 2    Banking     126         16          
Broker 3    Banking     126         16          
Broker 4    Banking     126         16          
Broker 1    Technology  199         16          
Broker 2    Technology  199         16          
Broker 3    Technology  199         16          
Broker 4    Technology  199         16          
Broker 1    Retail      47          17          
Broker 4    Retail      47          17          
Broker 2    Commodity   630         17          
Broker 4    Commodity   630         17          
Broker 2    Banking     127         17          
Broker 3    Banking     127         17          
Broker 4    Banking     127         17          
Broker 1    Technology  202         17          
Broker 2    Technology  202         17          
Broker 3    Technology  202         17          
Broker 4    Technology  202         17          
Broker 1    Retail      48          18          
Broker 4    Retail      48          18          
Broker 2    Commodity   632         18          
Broker 4    Commodity   632         18          
Broker 2    Banking     128         18          
Broker 3    Banking     128         18          
Broker 4    Banking     128         18          
Broker 1    Technology  204         18          
Broker 2    Technology  204         18          
Broker 3    Technology  204         18          
Broker 4    Technology  204         18          
Broker 1    Retail      49          19          
Broker 4    Retail      49          19          
Broker 2    Commodity   641         19          
Broker 4    Commodity   641         19          
Broker 1    Technology  205         19          
Broker 2    Technology  205         19          
Broker 3    Technology  205         19          
Broker 4    Technology  205         19          
Broker 2    Banking     130         19          
Broker 3    Banking     130         19          
Broker 4    Banking     130         19          
Broker 1    Retail      50          20          
Broker 2    Commodity   649         20          
Broker 4    Commodity   649         20          
Broker 1    Technology  206         20          
Broker 2    Technology  206         20          
Broker 3    Technology  206         20          
Broker 4    Technology  206         20          
Broker 2    Banking     131         20          
Broker 3    Banking     131         20          
Broker 4    Banking     131         20          
Broker 4    Retail      50          20          
Broker 2    Commodity   657         21          
Broker 4    Commodity   657         21          
Broker 1    Technology  209         21          
Broker 2    Technology  209         21          
Broker 3    Technology  209         21          
